miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-33b-5p	0.0438769372210568	0.552550920375053	0.441343385911024	-0.963187739171359	0.00285355097298368	-1.51573865954641
hsa-miR-484	0.059103369898426	-0.468653763855659	0.0258583752125503	-0.93868409764294	0.15567332424904	-0.470030333787281
hsa-miR-31-5p	0.300348711895994	-2.91020699586363	0.0734493820097306	-4.53105072455439	0.100168432633502	-1.62084372869076
hsa-miR-451a	0.393608944787446	-0.282868745703838	0.0169672289569771	-1.24988088470424	0.0169672289569771	-0.967012139000399
hsa-miR-27b-3p	0.00685161075932617	0.833696867351512	0.051684299293568	1.4286069483768	0.123599630761737	0.59491008102529
hsa-miR-153-3p	0.00949978537177376	1.89110082736484	0.722456442040361	0.514863237737708	0.0165831090289483	-1.37623758962713
hsa-miR-149-3p	0.722219834190438	0.0726099638979652	0.198718958800968	-2.0671033059044	0.0218643741750268	-2.13971326980236
hsa-miR-1260a	0.143667278754021	0.618349376236397	0.0384621836782588	-1.37991323619588	0.0029505994979846	-1.99826261243228
hsa-miR-188-3p	0.241095090042315	-0.987061904460223	0.850090614191425	0.0670077657619336	0.049378272788374	1.05406967022216
hsa-miR-1914-5p	0.0529659773712292	-1.96421446704984	0.100693613708575	-1.28542160155473	0.127242854311622	0.678792865495109
hsa-let-7f-2-3p	0.0196635641093259	1.2480478999441	0.299754596447646	0.429129203151716	0.149033630173298	-0.818918696792379
hsa-miR-300	0.0426269915923332	2.08949567030282	0.155787147519881	1.6216681602012	0.304629091107412	-0.467827510101619
hsa-miR-411-3p	0.0555995464592249	0.815102682679851	0.418607872134956	0.523587952318924	0.56198691556531	-0.291514730360928
hsa-miR-1255b-5p	0.914689331657266	-0.280248302319526	0.440599824687343	0.888799542290905	0.0119705679136959	1.16904784461043
hsa-miR-556-3p	0.997209016916478	-0.0548309995656739	0.168242994272595	0.533200493628878	0.0923065116248445	0.588031493194552
hsa-miR-15a-3p	0.0569495991672557	-1.92524614062323	0.574280343862431	0.230274215837756	0.274021485386459	2.15552035646098
hsa-miR-32-3p	0.14565226961941	-2.52517055946404	0.270650230598264	-0.469636166433176	0.0252374839572607	2.05553439303086
