miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-136-3p	0.242245989304813	-0.935790255570789	0.4234471410942	0.275629191054473	0.0333196215549157	1.21141944662526
hsa-miR-1260a	0.0492625851637325	0.618349376236397	0.0492625851637325	-1.37991323619588	0.00109242067186118	-1.99826261243228
hsa-miR-610	0.114285714285714	-2.12621922955553	0.0272727272727273	-5.96566665286935	0.0755244755244755	-3.83944742331382
hsa-miR-139-3p	0.0410941999177293	-1.75620358343972	0.696997395449408	-0.445387276035934	0.0410941999177293	1.31081630740379
hsa-miR-548j-5p	0.000686813186813187	-6.68175380682485	0.284382284382284	0.962025942625456	7.93839803127729e-05	7.64377974945031
hsa-let-7f-2-3p	0.0334588012606589	1.22103413109581	0.310026196713503	0.55407537562889	0.273474203814761	-0.666958755466919
hsa-miR-590-3p	0.349368897356513	-0.512322754601376	0.0300607287449393	1.12345661963063	0.0300607287449393	1.635779374232
hsa-miR-146b-3p	0.0476190476190476	-1.73328928697894	1	-0.782622464351473	0.6	0.950666822627471
hsa-miR-182-3p	0.223484848484849	-1.27480933322252	0.0236013986013986	-6.97045129235842	0.518481518481518	-5.69564195913591
hsa-miR-621	0.0285714285714286	-2.74925348038926	1	0.966110427401817	0.2	3.71536390779107
hsa-miR-554	0.315151515151515	1.93793784389638	0.0118006993006993	-4.1661107753233	0.0118006993006993	-6.10404861921968
hsa-miR-32-3p	0.0238095238095238	-3.24134751353085	0.555555555555556	-0.469636166433176	0.0238095238095238	2.77171134709768
